obj_id,name,year,iconic,type,S8,S6,iconic_bin,year_c,type_clean
1,"A RARE, HERMETIC COPPER EXPLORER WARDROBE TRUNK WITH BRASS HARDWARE",1925,no,trunk,0.96875,0.9583333333333334,0,7.1,trunk
2,"A RARE, LIMITED EDITION YELLOW & BLACK MONOGRAM LEATHER PUMPKIN BAG WITH SILVER HARDWARE BY YAYOI KUSAMA",2023,yes,bag,0.46875,0.5833333333333333,1,16.9,bag
3,"A RARE, HERMETIC COPPER RIFLE TRUNK WITH BRASS HARDWARE",1896,no,suitcase,1.0,1.0,0,4.2,suitcase
4,"A RARE, CLASSIC MONOGRAM HIGH TEA TRUNK WITH BRASS HARDWARE",2025,yes,trunk,0.71875,0.9583333333333334,1,17.1,trunk
5,"A RARE, ALUMINIUM EXPLORER TRUNK",1892,no,trunk,0.9375,0.9166666666666666,0,3.8,trunk
6,A LIMITED EDITION RED & WHITE MONOGRAM MALLE COURRIER 90 TRUNK WITH SILVER HARDWARE BY SUPREME,2017,yes,trunk,0.75,0.9166666666666666,1,16.3,trunk
7,"A RARE, HERMETIC ZINC EXPLORER TRUNK WITH BRASS HARDWARE",1890,no,trunk,0.9375,0.9166666666666666,0,3.6,trunk
8,"A RARE, BRASS EXPLORER TRUNK",1888,no,trunk,0.9375,0.9166666666666666,0,3.4,trunk
9,"A RARE, HERMETIC ZINC EXPLORER TRUNK WITH BRASS HARDWARE",1889,no,trunk,0.9375,0.9166666666666666,0,3.5,trunk
10,A RED VUITTONITE CANVAS TRUNK WITH BRASS HARDWARE,1926,no,trunk,1.0,1.0,0,7.2,trunk
11,A MONOGRAM CANVAS DESK TRUNK FOR THIRTY PAIRS OF SHOES WITH BRASS HARDWARE,1929,no,trunk,0.71875,0.9583333333333334,0,7.5,trunk
12,A MONOGRAM CANVAS LIBRARY TRUNK WITH BRASS HARDWARE,1932,no,trunk,0.71875,0.9583333333333334,0,7.8,trunk
13,A LOUIS VUITTON LIMITED EDITION YELLOW STEAMER TRUNK BY VIRGIL ABLOH,2021,yes,trunk,0.71875,0.875,1,16.7,trunk
14,A MONOGRAM CANVAS COURRIER 110 TRUNK WITH BRASS HARDWARE,1934,no,trunk,0.75,1.0,0,8.0,trunk
15,"A RARE, HERMETIC ZINC EXPLORER TRUNK WITH BRASS HARDWARE (2)",1870,no,trunk,0.96875,0.9583333333333334,0,1.6,trunk
16,"A RARE, MONOGRAM CANVAS CASINO TRUNK WITH BRASS HARDWARE",2009,yes,trunk,0.71875,0.9583333333333334,1,15.5,trunk
17,A SHINY BROWN POROSUS CROCODILE & TORTOISE SHELL TOILETRY KIT TRUNK WITH BRASS HARDWARE,1942,yes,suitcase,0.9375,0.9166666666666666,1,8.8,suitcase
18,A LIMITED EDITION CLASSIC MONOGRAM & MULTICOLOR DOTS PYRAMID SET OF FOUR BISTEN WITH BRASS HARDWARE BY YAYOI KUSAMA,2023,yes,suitcase,0.75,0.9166666666666666,1,16.9,suitcase
19,A LIMITED EDITION PAINTED MONOGRAM COURRIER LOZINE TRUNK 110 WITH BLACK HARDWARE BY VIRGIL ABLOH,2021,yes,trunk,0.65625,0.75,1,16.7,trunk
20,A MONOGRAM CANVAS TRUNK FOR 1000 CIGARS WITH BRASS HARDWARE,2010,yes,trunk,0.71875,0.9583333333333334,1,15.6,trunk
21,A MONOGRAM CANVAS LADY'S HIGH 110 TRUNK WITH BRASS HARDWARE,1910,yes,trunk,0.71875,0.9583333333333334,1,5.6,trunk
22,A SPECIAL ORDER WATCH MONOGRAM TRUNK,2008,no,trunk,0.71875,0.9583333333333334,0,15.4,trunk
23,A SPECIAL ORDER JAPANESE TEA CEREMONY DAMIER TRUNK,2006,yes,trunk,0.71875,0.9583333333333334,1,15.2,trunk
24,A LIMITED EDITION PAINTED PUMPKIN MONOGRAM COURRIER LOZINE TRUNK 110 BY YAYOI KUSAMA,2023,yes,trunk,0.75,0.9166666666666666,1,16.9,trunk
25,A MONOGRAM CANVAS TRUNK WITH DOORS AND DRAWERS WITH BRASS HARDWARE,1906,no,trunk,0.75,1.0,0,5.2,trunk
26,"RARE, MONOGRAM CANVAS FISHING TRUNK WITH BRASS HARDWARE",1924,no,suitcase,0.71875,0.9583333333333334,0,7.0,suitcase
27,A GREEN VUITTONITE CANVAS COURRIER 90 TRUNK WITH BLACK LACQUERED IRON HARDWARE,1909,no,trunk,1.0,1.0,0,5.5,trunk
28,AN ORANGE VUITTONITE CANVAS COURRIER 100 TRUNK WITH BRASS HARDWARE,1925,no,trunk,0.90625,0.875,0,7.1,trunk
29,A LIMITED EDITION BLACK RAINBOW MONOGRAM MALLE COURRIER 110 TRUNK WITH BLACK HARDWARE BY VIRGIL ABLOH,2019,yes,trunk,0.78125,0.9583333333333334,1,16.5,trunk
30,A NATURAL COWHIDE LEATHER PICNIC TRUNK WITH BRASS HARDWARE,1908,no,case,0.96875,0.9583333333333334,0,5.4,case
31,A DAMIER CANVAS TRUNK WITH DOORS AND DRAWERS WITH BRASS HARDWARE,1893,no,trunk,0.96875,0.9583333333333334,0,3.9,trunk
32,A LIMITED EDITION FIFA WORLD CUP OFFICIAL MATCH BALL MONOGRAM TRUNK,2018,yes,trunk,0.75,1.0,1,16.4,trunk
33,A SPECIAL ORDER NIGHT PICNIC ASTRONOMY TELESCOPE MONOGRAM TRUNK DESIGNED BY PATRICK LOUIS VUITTON & A PRIVATE COLLECTOR,2014,yes,trunk,0.75,1.0,1,16.0,trunk
34,A STANDING WARDROBE DAMIER TRUNK,2003,no,trunk,0.71875,0.9583333333333334,0,14.9,trunk
35,"A RARE, CHRISTMAS ORNAMENTS MONOGRAM TRUNK",2010,yes,trunk,0.71875,0.9583333333333334,1,15.6,trunk
36,AN ORANGE VUITTONITE CANVAS DOUBLE-DRAWER WARDROBE TRUNK WITH BRASS HARDWARE,1951,no,trunk,0.96875,0.9583333333333334,0,9.7,trunk
37,A MAHOGANY RUNNING-BOARD TRUNK FOR AUTOMOBILE TOOLS WITH BRASS HARDWARE,1910,no,trunk,0.9375,0.9166666666666666,0,5.6,trunk
38,"A VERY RARE, BROWN AND TAN PATTERNED STENCILED CANVAS & WOOD MALLE COURRIER 110",1890,no,trunk,0.96875,0.9583333333333334,0,3.6,trunk
39,A CUSTOM GRAPHITE DAMIER CANVAS WATCH & JEWELLERY TRUNK,2016,yes,trunk,0.96875,0.9583333333333334,1,16.2,trunk
40,A NATURAL COWHIDE LEATHER IDEAL TRUNK WITH BRASS HARDWARE,1894,no,trunk,0.9375,0.9166666666666666,0,4.0,trunk
41,A LIMITED EDITION CLASSIC MONOGRAM CANVAS & BLACK CALFSKIN AIRPLANE-SHAPE BAG WITH BLACK HARDWARE BY VIRGIL ABLOH,2021,yes,bag,0.375,0.5,1,16.7,bag
42,"A RARE, MONOGRAM CANVAS EXPLORATOR'S CAMP BED TRUNK WITH BRASS HARDWARE",1911,no,trunk,0.75,1.0,0,5.7,trunk
43,A DAMIER CANVAS MEN HIGH 90 TRUNK WITH BRASS HARDWARE,1896,no,trunk,1.0,1.0,0,4.2,trunk
44,A GROUP OF TWO: AN ORANGE VUITTONITE CANVAS DESK TRUNK FOR LINEN & AN ORANGE VUITTONITE CANVAS LOW 110 TRUNK WITH BRASS HARDWARE,1909,no,trunk,0.96875,0.9583333333333334,0,5.5,trunk
45,A MATTE WHITE & SILVER HIMALAYA NILOTICUS CROCODILE MINI CAPUCINES WITH SILVER HARDWARE,2023,yes,bag,0.71875,0.625,1,16.9,bag
46,A SPECIAL ORDER SHINY BROWN ALLIGATOR CAVIAR SET BOX WITH GOLD HARDWARE,2009,no,case,0.9375,0.9166666666666666,0,15.5,case
47,"A RARE, MONOGRAM PAPER & WOOD MINI FLOWER TRUNK WITH BRASS HARDWARE",1910,yes,case,0.6875,0.9166666666666666,1,5.6,case
48,A COURRIER DAMIER TRUNK,2012,yes,trunk,1.0,1.0,1,15.8,trunk
49,"A RARE, MONOGRAM CANVAS LIBRARY TRUNK WITH SET OF 1911 BRITANNICA ENCYCLOPAEDIA WITH BRASS HARDWARE",1911,no,trunk,0.71875,0.9583333333333334,0,5.7,trunk
50,A MONOGRAM CANVAS WARDROBE TRUNK WITH BRASS HARDWARE,1925,no,trunk,0.71875,0.9583333333333334,0,7.1,trunk
51,A PERSONALIZED BROWN MONOGRAM CANVAS PÉGASE 50,2000,yes,other,0.46875,0.5833333333333333,1,14.6,trunk
52,A LIMITED EDITION PAINTED PUMPKIN MONOGRAM WATCH BOX WITH BRASS HARDWARE BY YAYOI KUSAMA,2023,yes,trunk,0.65625,0.875,1,16.9,trunk
53,A SHINY EMERALD GREEN ALLIGATOR MINI CAPUCINES WITH GOLD HARDWARE,2023,yes,bag,0.71875,0.625,1,16.9,bag
54,A RARE EXTRA TALL MONOGRAM CANVAS WARDROBE TRUNK,1910,yes,trunk,0.75,1.0,1,5.6,trunk
55,A LIMITED EDITION RED EPI LEATHER SUPREME KEEPALL 45 WITH SILVER HARDWARE,2017,yes,bag,0.6875,0.625,1,16.3,bag
56,A RARE LOUIS VUITTON 'MALLE SECRETAIRE' MONOGRAM CANVAS TRUNK,1920,no,trunk,0.71875,0.9583333333333334,0,6.6,trunk
57,"A RARE, MATTE BALLET ROSE SAHARA ALLIGATOR CAPUCINES BB WITH ROSE GOLD HARDWARE",2024,yes,bag,0.71875,0.625,1,17.0,bag
58,A MONOGRAM CANVAS WARDROBE TRUNK WITH BRASS HARDWARE,1930,no,trunk,0.71875,0.9583333333333334,0,7.6,trunk
59,A MATTE WHITE HIMALAYA CROCODILE CITY STEAMER PM WITH SILVER HARDWARE,2020,yes,bag,0.78125,0.7083333333333333,1,16.6,bag
60,A LIMITED EDITION ORANGE MAT MONOGRAM & NATURAL LEATHER BANDOULIÈRE VIA SPEEDY P9 40 WITH GOLD HARDWARE BY PHARRELL WILLIAMS,2023,yes,bag,0.46875,0.625,1,16.9,bag
61,A LIMITED EDITION EMBROIDERED CALFSKIN LEATHER ARTYCAPUCINES WITH GIRAFFE CHARM BY JONAS WOOD,2019,yes,bag,0.46875,0.45833333333333337,1,16.5,bag
62,A NATURAL WOOD COURRIER 80 TRUNK WITH BLACK LACQUERED IRON HARDWARE,1870,no,trunk,0.96875,0.9583333333333334,0,1.6,trunk
63,A SHINY BROWN POROSUS CROCODILE TOILETRY KIT TRUNK WITH BRASS HARDWARE,1931,no,suitcase,0.90625,0.875,0,7.7,suitcase
64,A NATURAL COWHIDE LEATHER IDEAL TRUNK WITH BRASS HARDWARE,1916,no,trunk,0.9375,0.9166666666666666,0,6.2,trunk
65,A MONOGRAM FABRIC CANVAS MEN'S LOW 90 TRUNK WITH BLACK LACQUERED IRON & BRASS HARDWARE,1908,no,trunk,0.75,1.0,0,5.4,trunk
66,A GRIS TRIANON COATED CANVAS LOW TRUNK WITH BLACK LACQUERED IRON HARDWARE,1886,no,trunk,1.0,1.0,0,3.2,trunk
67,A LIMITED EDITION CLASSIC MONOGRAM CANVAS POOCH BAG WITH GOLD HARDWARE BY PHARRELL WILLIAMS,2024,yes,bag,0.34375,0.45833333333333337,1,17.0,bag
68,A NATURAL COWHIDE LEATHER WARDROBE TRUNK WITH BRASS HARDWARE,1911,no,trunk,0.9375,0.9166666666666666,0,5.7,trunk
