n,name,brand,iconic,S6,category,year,shown,answered,iconic_bin,is_lv,successes,failures
1,#131 · 1860 · A GRIS TRIANON COATED CANVAS TRUNK WITH BLACK LACQUERED IRON & BRASS H,LV,yes,1.0,trunk,1860.0,100,41,1,1,41,59
2,#242 · 1880 · Cabin Trunk Finished in Damier Canvas,LV,no,1.0,trunk,1880.0,100,48,0,1,48,52
3,#54 · 1910 · A RARE EXTRA TALL MONOGRAM CANVAS WARDROBE TRUNK,LV,yes,1.0,trunk,1910.0,100,69,1,1,69,31
4,#130 · 1940 · A CLASSIC MONOGRAM CANVAS SHOE WARDROBE TRUNK,LV,no,1.0,trunk,1940.0,100,80,0,1,80,20
5,#343 · 1980 · LOUIS VUITTON Vintage Large Steamer Wardrobe Trunk,LV,no,1.0,trunk,1980.0,100,79,0,1,79,21
6,#37 · 1910 · A MAHOGANY RUNNING-BOARD TRUNK FOR AUTOMOBILE TOOLS WITH BRASS HARDWAR,LV,no,0.9166666666666666,trunk,1910.0,100,12,0,1,12,88
7,#368 · 2000 · HATBOX,LV,yes,0.75,box,2000.0,100,72,1,1,72,28
8,"#331 · 1980 · Round Louis Vuitton Hat Trunk 50, Louis Vuitton Hat Box, Louis Vuitton",LV,yes,0.8333333333333334,box,1980.0,100,70,1,1,70,30
9,#377 · 1970 · Vintage Monogram Boite Flacons Train Case Travel Bag Brown Cloth,LV,yes,0.9583333333333334,box,1970.0,100,81,1,1,81,19
10,#371 · 2020 · A YELLOW TUFFETAGE MONOGRAM SPEEDY TRUNK WITH BLACK HARDWARE,LV,yes,0.9166666666666666,trunk,2020.0,100,90,1,1,90,10
11,#350 · 1983 · Saint Cloud GM Monogram Bag,LV,yes,0.875,bag,1983.0,100,61,1,1,61,39
12,"#47 · 1910 · A RARE, MONOGRAM PAPER & WOOD MINI FLOWER TRUNK WITH BRASS HARDWARE",LV,yes,0.9166666666666666,trunk,1910.0,100,38,1,1,38,62
13,#394 · 2023 · A RARE BEIGE & BLACK PRINTED LEATHER SOFT TRUCK BAG WITH SILVER HARDWA,LV,no,0.41666666666666663,bag,2023.0,100,12,0,1,12,88
14,#147 · 2018 · A LIMITED EDITION CHAITAIGNE & MULTICOLOR LEATHER CATOGRAM CITY STEAME,LV,yes,0.6666666666666667,bag,2018.0,100,1,1,1,1,99
15,#190 · 2012 · A ONE-OF-A-KIND BROWN LEATHER & CALFHAIR STUDDED PUDSEY BACKPAG BAG,LV,no,0.5,bag,2012.0,100,5,0,1,5,95
16,#61 · 2019 · A LIMITED EDITION EMBROIDERED CALFSKIN LEATHER ARTYCAPUCINES WITH GIRA,LV,yes,0.45833333333333337,bag,2019.0,100,72,1,1,72,28
17,#144 · 2004 · A RUNWAY TURQUOISE & GOLD MONOGRAM SUEDE THEDA PM WITH GOLD HARDWARE B,LV,yes,0.5,bag,2004.0,100,29,1,1,29,71
18,#321 · 1970 · Original vintage Louis Vuitton suitcase,LV,no,0.7916666666666666,suitcase,1970.0,100,66,0,1,66,34
19,"#112 · 2001 · A RARE, WHITE MONOGRAM GRAFFITI BOÎTE CHAPEAU HAT BOX PM BY STEPHEN SP",LV,no,0.7083333333333333,box,2001.0,100,20,0,1,20,80
20,#151 · 2006 · A CLASSIC MONOGRAM CANVAS COFFRET TRESOR 20 WITH BRASS HARDWARE,LV,yes,0.875,box,2006.0,100,81,1,1,81,19
21,Goyard trunk in Goyard canvas and natural leather,control,no,1.0,trunk,,100,52,0,0,52,48
22,Moynat — limousine or cabin trunk (Moynat),control,no,0.875,trunk,,100,17,0,0,17,83
23,Au Départ — steamer trunk,control,no,0.9583333333333334,trunk,,100,48,0,0,48,52
24,Globe-Trotter — rigid suitcase,control,no,0.9166666666666666,suitcase,,100,72,0,0,72,28
25,Innovation — wardrobe trunk,control,no,0.9583333333333334,trunk,,100,32,0,0,32,68
26,Goyard — Saint Louis tote,control,no,0.625,bag,,100,39,0,0,39,61
27,Moynat — Réjane or Pauline bag,control,no,0.7916666666666666,bag,,100,10,0,0,10,90
28,Hermès — Kelly,control,no,0.7916666666666666,bag,,100,2,0,0,2,98
29,Hermès — Haut à Courroies,control,no,0.7916666666666666,bag,,100,11,0,0,11,89
30,"Bottega Veneta
Calfskin Small The Point ",control,no,0.5416666666666667,bag,,100,23,0,0,23,77
